Granule Name,Platform,Sensor,Beam Mode,Orbit,Path Number,Frame Number,Acquisition Date,Processing Date,Processing Level,Start Time,End Time,Center Lat,Center Lon,Near Start Lat,Near Start Lon,Far Start Lat,Far Start Lon,Near End Lat,Near End Lon,Far End Lat,Far End Lon,Faraday Rotation,Ascending or Descending?,URL,Size (MB),Off Nadir Angle,Stack Size,Baseline Perp.,Doppler
ALPSRP254190180,ALOS,PALSAR,FBD,25419,477,180,2010-11-01T15:33:48Z,2014-01-17T18:28:22Z,L1.0,2010-11-01T15:33:40Z,2010-11-01T15:33:48Z,9.8191,106.769,9.508,106.527,9.625,107.115,10.013,106.423,10.13,107.011,0.659367,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP254190180-L1.0.zip,365.59,34.3,17,-906.1738,0
ALPSRP247480180,ALOS,PALSAR,FBD,24748,477,180,2010-09-16T15:34:30Z,2014-01-17T19:23:14Z,L1.0,2010-09-16T15:34:22Z,2010-09-16T15:34:30Z,9.8573,106.7609,9.546,106.519,9.663,107.107,10.052,106.415,10.168,107.003,0.896097,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP247480180-L1.0.zip,344.7,34.3,17,-698.0939,0
ALPSRP234060180,ALOS,PALSAR,FBD,23406,477,180,2010-06-16T15:35:34Z,2014-01-17T14:36:07Z,L1.0,2010-06-16T15:35:26Z,2010-06-16T15:35:34Z,9.8601,106.7617,9.549,106.52,9.666,107.108,10.054,106.415,10.171,107.004,0.239776,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP234060180-L1.0.zip,351.65,34.3,17,-581.5567,0
ALPSRP213930180,ALOS,PALSAR,FBS,21393,477,180,2010-01-29T15:36:40Z,2014-01-17T12:08:13Z,L1.0,2010-01-29T15:36:32Z,2010-01-29T15:36:40Z,9.8537,106.7644,9.542,106.522,9.659,107.109,10.048,106.419,10.165,107.008,0.39346,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP213930180-L1.0.zip,391.87,34.3,17,-499.9595,0
ALPSRP207220180,ALOS,PALSAR,FBS,20722,477,180,2009-12-14T15:36:47Z,2014-01-17T11:58:05Z,L1.0,2009-12-14T15:36:39Z,2009-12-14T15:36:47Z,9.8519,106.7593,9.54,106.517,9.658,107.104,10.046,106.414,10.163,107.003,0.242816,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP207220180-L1.0.zip,384.85,34.3,17,-939.3903,0
ALPSRP187090180,ALOS,PALSAR,FBD,18709,477,180,2009-07-29T15:36:31Z,2014-01-17T06:19:21Z,L1.0,2009-07-29T15:36:22Z,2009-07-29T15:36:31Z,9.8629,106.7526,9.551,106.51,9.669,107.098,10.057,106.407,10.174,106.996,0.180113,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP187090180-L1.0.zip,356.78,34.3,17,-1421.3384,0
ALPSRP180380180,ALOS,PALSAR,FBD,18038,477,180,2009-06-13T15:36:12Z,2014-01-21T21:01:46Z,L1.0,2009-06-13T15:36:04Z,2009-06-13T15:36:12Z,9.8607,106.7554,9.549,106.513,9.666,107.1,10.055,106.41,10.172,106.999,0.226645,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP180380180-L1.0.zip,353.32,34.3,17,-1257.4629,0
ALPSRP160250180,ALOS,PALSAR,FBS,16025,477,180,2009-01-26T15:34:57Z,2013-02-20T04:58:02Z,L1.0,2009-01-26T15:34:49Z,2009-01-26T15:34:57Z,9.8616,106.7537,9.55,106.511,9.667,107.099,10.056,106.408,10.173,106.997,0.238384,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP160250180-L1.0.zip,379.06,34.3,17,-1265.3429,0
ALPSRP153540180,ALOS,PALSAR,FBS,15354,477,180,2008-12-11T15:34:17Z,2012-12-21T04:33:20Z,L1.0,2008-12-11T15:34:08Z,2008-12-11T15:34:17Z,9.8609,106.7561,9.549,106.514,9.667,107.101,10.055,106.411,10.172,106.999,0.292144,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP153540180-L1.0.zip,360.8,34.3,17,-1231.8694,0
ALPSRP126700180,ALOS,PALSAR,FBD,12670,477,180,2008-06-10T15:31:32Z,2012-11-08T23:19:48Z,L1.0,2008-06-10T15:31:24Z,2008-06-10T15:31:32Z,9.8566,106.772,9.545,106.529,9.662,107.117,10.051,106.427,10.168,107.015,0.242129,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP126700180-L1.0.zip,348.81,34.3,17,203.8948,0
ALPSRP119990180,ALOS,PALSAR,FBD,11999,477,180,2008-04-25T15:32:22Z,2012-12-10T22:05:47Z,L1.0,2008-04-25T15:32:14Z,2008-04-25T15:32:22Z,9.8584,106.7721,9.547,106.529,9.664,107.117,10.053,106.427,10.169,107.016,0.571859,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP119990180-L1.0.zip,358.35,34.3,17,341.3182,0
ALPSRP113280180,ALOS,PALSAR,FBD,11328,477,180,2008-03-10T15:33:09Z,2014-01-17T04:34:22Z,L1.0,2008-03-10T15:33:01Z,2008-03-10T15:33:09Z,9.8266,106.772,9.515,106.529,9.632,107.117,10.021,106.427,10.138,107.015,0.739364,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP113280180-L1.0.zip,364.39,34.3,17,-537.0715,0
ALPSRP106570180,ALOS,PALSAR,FBS,10657,477,180,2008-01-24T15:33:47Z,2012-12-12T21:44:13Z,L1.0,2008-01-24T15:33:39Z,2008-01-24T15:33:47Z,9.8626,106.764,9.551,106.521,9.668,107.109,10.057,106.419,10.174,107.007,0.359622,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP106570180-L1.0.zip,383.04,34.3,17,-410.5221,0
ALPSRP086440180,ALOS,PALSAR,FBD,8644,477,180,2007-09-08T15:34:53Z,2013-08-18T15:13:22Z,L1.0,2007-09-08T15:34:45Z,2007-09-08T15:34:53Z,9.8546,106.764,9.543,106.521,9.66,107.109,10.049,106.419,10.166,107.007,0.509698,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP086440180-L1.0.zip,351.25,34.3,17,-540.0549,0
ALPSRP073020180,ALOS,PALSAR,FBD,7302,477,180,2007-06-08T15:35:07Z,2012-08-24T00:00:00Z,L1.0,2007-06-08T15:34:58Z,2007-06-08T15:35:07Z,9.8561,106.7587,9.545,106.517,9.662,107.105,10.05,106.412,10.167,107.001,0.465437,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP073020180-L1.0.zip,353.28,34.3,17,-991.5262,0
ALPSRP052890180,ALOS,PALSAR,FBS,5289,477,180,2007-01-21T15:34:59Z,2013-02-08T19:36:57Z,L1.0,2007-01-21T15:34:51Z,2007-01-21T15:34:59Z,9.8481,106.746,9.537,106.503,9.654,107.091,10.042,106.401,10.159,106.989,0.45746,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP052890180-L1.0.zip,397.51,34.3,17,-2413.7803,0
ALPSRP046180180,ALOS,PALSAR,FBS,4618,477,180,2006-12-06T15:34:34Z,2012-08-06T15:26:38Z,L1.0,2006-12-06T15:34:25Z,2006-12-06T15:34:34Z,9.8689,106.7661,9.557,106.524,9.675,107.111,10.063,106.421,10.18,107.009,0.676185,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP046180180-L1.0.zip,386.42,34.3,17,0,0
ALPSRP254190190,ALOS,PALSAR,FBD,25419,477,190,2010-11-01T15:33:56Z,2011-11-23T03:42:26Z,L1.0,2010-11-01T15:33:48Z,2010-11-01T15:33:56Z,10.3161,106.6677,10.005,106.424,10.121,107.013,10.511,106.322,10.627,106.912,0.735432,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP254190190-L1.0.zip,425.65,34.3,17,-859.7746,0
ALPSRP247480190,ALOS,PALSAR,FBD,24748,477,190,2010-09-16T15:34:38Z,2011-11-23T07:24:43Z,L1.0,2010-09-16T15:34:30Z,2010-09-16T15:34:38Z,10.3544,106.6596,10.043,106.416,10.16,107.005,10.549,106.314,10.665,106.904,0.988407,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP247480190-L1.0.zip,419.64,34.3,17,-655.9438,0
ALPSRP234060190,ALOS,PALSAR,FBD,23406,477,190,2010-06-16T15:35:43Z,2011-11-23T06:30:29Z,L1.0,2010-06-16T15:35:34Z,2010-06-16T15:35:43Z,10.3566,106.6605,10.045,106.417,10.162,107.006,10.551,106.315,10.668,106.904,0.273755,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP234060190-L1.0.zip,417.7,34.3,17,-545.6539,0
ALPSRP213930190,ALOS,PALSAR,FBS,21393,477,190,2010-01-29T15:36:48Z,2011-11-23T08:20:01Z,L1.0,2010-01-29T15:36:40Z,2010-01-29T15:36:48Z,10.3507,106.6639,10.039,106.421,10.156,107.009,10.545,106.318,10.662,106.908,0.437943,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP213930190-L1.0.zip,432.79,34.3,17,-475.7043,0
ALPSRP207220190,ALOS,PALSAR,FBS,20722,477,190,2009-12-14T15:36:55Z,2011-11-23T08:01:11Z,L1.0,2009-12-14T15:36:47Z,2009-12-14T15:36:55Z,10.349,106.659,10.038,106.416,10.154,107.004,10.543,106.313,10.66,106.903,0.274083,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP207220190-L1.0.zip,434.72,34.3,17,-921.4144,0
ALPSRP187090190,ALOS,PALSAR,FBD,18709,477,190,2009-07-29T15:36:39Z,2011-11-23T00:43:11Z,L1.0,2009-07-29T15:36:31Z,2009-07-29T15:36:39Z,10.3601,106.6522,10.049,106.409,10.166,106.998,10.554,106.306,10.671,106.896,0.206886,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP187090190-L1.0.zip,422.78,34.3,17,-1415.0795,0
ALPSRP180380190,ALOS,PALSAR,FBD,18038,477,190,2009-06-13T15:36:20Z,2011-11-23T09:16:31Z,L1.0,2009-06-13T15:36:12Z,2009-06-13T15:36:20Z,10.3571,106.6537,10.046,106.412,10.163,107,10.551,106.307,10.668,106.896,0.25575,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP180380190-L1.0.zip,418.39,34.3,17,-1252.6404,0
ALPSRP160250190,ALOS,PALSAR,FBS,16025,477,190,2009-01-26T15:35:05Z,2013-02-20T00:00:00Z,L1.0,2009-01-26T15:34:57Z,2009-01-26T15:35:05Z,10.3586,106.6532,10.047,106.41,10.164,106.999,10.553,106.307,10.67,106.897,0.265587,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP160250190-L1.0.zip,428.3,34.3,17,-1272.6046,0
ALPSRP153540190,ALOS,PALSAR,FBS,15354,477,190,2008-12-11T15:34:25Z,2012-12-21T00:00:00Z,L1.0,2008-12-11T15:34:17Z,2008-12-11T15:34:25Z,10.3579,106.6551,10.046,106.412,10.164,107.001,10.552,106.309,10.669,106.899,0.322532,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP153540190-L1.0.zip,424,34.3,17,-1246.3918,0
ALPSRP126700190,ALOS,PALSAR,FBD,12670,477,190,2008-06-10T15:31:40Z,2012-11-08T23:25:42Z,L1.0,2008-06-10T15:31:32Z,2008-06-10T15:31:40Z,10.3534,106.6706,10.042,106.428,10.159,107.017,10.548,106.324,10.664,106.914,0.276388,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP126700190-L1.0.zip,414.73,34.3,17,254.647,0
ALPSRP119990190,ALOS,PALSAR,FBD,11999,477,190,2008-04-25T15:32:30Z,2012-12-10T00:00:00Z,L1.0,2008-04-25T15:32:22Z,2008-04-25T15:32:30Z,10.3554,106.6718,10.044,106.429,10.161,107.017,10.55,106.326,10.666,106.916,0.641695,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP119990190-L1.0.zip,417.3,34.3,17,390.8992,0
ALPSRP113280190,ALOS,PALSAR,FBD,11328,477,190,2008-03-10T15:33:17Z,2011-11-23T02:22:11Z,L1.0,2008-03-10T15:33:09Z,2008-03-10T15:33:17Z,10.3239,106.6718,10.013,106.428,10.129,107.017,10.518,106.326,10.635,106.916,0.806083,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP113280190-L1.0.zip,420.49,34.3,17,-490.8069,0
ALPSRP106570190,ALOS,PALSAR,FBS,10657,477,190,2008-01-24T15:33:55Z,2012-12-12T00:00:00Z,L1.0,2008-01-24T15:33:47Z,2008-01-24T15:33:55Z,10.3594,106.6628,10.048,106.421,10.165,107.009,10.554,106.316,10.67,106.906,0.397509,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP106570190-L1.0.zip,431.21,34.3,17,-372.0399,0
ALPSRP086440190,ALOS,PALSAR,FBD,8644,477,190,2007-09-08T15:35:01Z,2011-07-26T20:09:46Z,L1.0,2007-09-08T15:34:53Z,2007-09-08T15:35:01Z,10.3514,106.6636,10.04,106.42,10.157,107.009,10.546,106.318,10.662,106.908,0.564277,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP086440190-L1.0.zip,419.79,34.3,17,-516.8856,0
ALPSRP073020190,ALOS,PALSAR,FBD,7302,477,190,2007-06-08T15:35:15Z,2012-08-24T00:00:00Z,L1.0,2007-06-08T15:35:07Z,2007-06-08T15:35:15Z,10.3531,106.6572,10.042,106.414,10.159,107.003,10.547,106.311,10.664,106.901,0.526395,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP073020190-L1.0.zip,417.77,34.3,17,-972.3433,0
ALPSRP052890190,ALOS,PALSAR,FBS,5289,477,190,2007-01-21T15:35:07Z,2013-02-08T00:00:00Z,L1.0,2007-01-21T15:34:59Z,2007-01-21T15:35:07Z,10.3451,106.6455,10.034,106.402,10.151,106.991,10.539,106.3,10.656,106.889,0.510637,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP052890190-L1.0.zip,437.62,34.3,17,-2405.2183,0
ALPSRP046180190,ALOS,PALSAR,FBS,4618,477,190,2006-12-06T15:34:42Z,2012-08-06T00:00:00Z,L1.0,2006-12-06T15:34:34Z,2006-12-06T15:34:42Z,10.3656,106.6657,10.054,106.423,10.171,107.011,10.56,106.32,10.677,106.909,0.753678,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP046180190-L1.0.zip,431.43,34.3,17,0,0
