Granule Name,Platform,Sensor,Beam Mode,Orbit,Path Number,Frame Number,Acquisition Date,Processing Date,Processing Level,Start Time,End Time,Center Lat,Center Lon,Near Start Lat,Near Start Lon,Far Start Lat,Far Start Lon,Near End Lat,Near End Lon,Far End Lat,Far End Lon,Faraday Rotation,Ascending or Descending?,URL,Size (MB),Off Nadir Angle,Stack Size,Baseline Perp.,Doppler
ALPSRP268340180,ALOS,PALSAR,FBS,26834,480,180,2011-02-06T15:38:26Z,2012-07-17T03:02:56Z,L1.0,2011-02-06T15:38:18Z,2011-02-06T15:38:26Z,9.8546,105.155,9.543,104.912,9.66,105.5,10.049,104.81,10.166,105.398,0.685829,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP268340180-L1.0.zip,435.05,34.3,22,-656.6297,0
ALPSRP268340170,ALOS,PALSAR,FBS,26834,480,170,2011-02-06T15:38:18Z,2012-07-17T03:02:58Z,L1.0,2011-02-06T15:38:09Z,2011-02-06T15:38:18Z,9.3581,105.2562,9.047,105.015,9.164,105.602,9.552,104.91,9.669,105.498,0.6099,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP268340170-L1.0.zip,429.4,34.3,22,-713.6113,0
ALPSRP265860200,ALOS,PALSAR,FBS,26586,479,200,2011-01-20T15:36:55Z,2012-07-17T02:33:41Z,L1.0,2011-01-20T15:36:47Z,2011-01-20T15:36:55Z,10.8524,105.4891,10.541,105.245,10.658,105.835,11.047,105.143,11.163,105.734,0.477286,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP265860200-L1.0.zip,436.96,34.3,15,2526.5809,0
ALPSRP265860190,ALOS,PALSAR,FBS,26586,479,190,2011-01-20T15:36:47Z,2012-07-17T02:33:38Z,L1.0,2011-01-20T15:36:39Z,2011-01-20T15:36:47Z,10.3553,105.5894,10.044,105.346,10.161,105.935,10.55,105.244,10.666,105.833,0.438842,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP265860190-L1.0.zip,446.85,34.3,15,2480.0435,0
ALPSRP265860180,ALOS,PALSAR,FBS,26586,479,180,2011-01-20T15:36:39Z,2012-07-17T02:33:37Z,L1.0,2011-01-20T15:36:31Z,2011-01-20T15:36:39Z,9.8584,105.6893,9.547,105.447,9.664,106.034,10.053,105.344,10.169,105.933,0.399184,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP265860180-L1.0.zip,449.31,34.3,15,2432.3063,0
ALPSRP263380190,ALOS,PALSAR,FBS,26338,478,190,2011-01-03T15:34:58Z,2012-04-05T19:03:32Z,L1.0,2011-01-03T15:34:50Z,2011-01-03T15:34:58Z,10.3404,106.1288,10.029,105.886,10.146,106.474,10.535,105.783,10.651,106.373,0.421805,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP263380190-L1.0.zip,451.3,34.3,24,545.6968,0
ALPSRP256670200,ALOS,PALSAR,FBD,25667,478,200,2010-11-18T15:35:57Z,2012-07-17T02:24:39Z,L1.0,2010-11-18T15:35:49Z,2010-11-18T15:35:57Z,10.8521,106.0232,10.541,105.779,10.657,106.369,11.047,105.677,11.163,106.268,1.082116,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP256670200-L1.0.zip,432.22,34.3,23,372.3039,0
ALPSRP256670190,ALOS,PALSAR,FBD,25667,478,190,2010-11-18T15:35:49Z,2012-07-17T00:00:00Z,L1.0,2010-11-18T15:35:41Z,2010-11-18T15:35:49Z,10.3551,106.1235,10.044,105.88,10.16,106.469,10.55,105.778,10.666,106.367,0.981071,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP256670190-L1.0.zip,443.7,34.3,24,334.3747,0
ALPSRP256670180,ALOS,PALSAR,FBD,25667,478,180,2010-11-18T15:35:41Z,2012-07-17T02:24:42Z,L1.0,2010-11-18T15:35:32Z,2010-11-18T15:35:41Z,9.8582,106.2234,9.547,105.981,9.664,106.568,10.052,105.878,10.169,106.467,0.880584,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP256670180-L1.0.zip,432.42,34.3,23,297.088,0
ALPSRP256670170,ALOS,PALSAR,FBD,25667,478,170,2010-11-18T15:35:32Z,2014-01-17T20:27:41Z,L1.0,2010-11-18T15:35:24Z,2010-11-18T15:35:32Z,9.3609,106.3236,9.049,106.081,9.167,106.668,9.555,105.979,9.672,106.567,0.78147,ASCENDING,https://datapool.asf.alaska.edu/L1.0/A3/ALPSRP256670170-L1.0.zip,356.68,34.3,23,259.1189,0
