Granule Name,Platform,Sensor,Beam Mode,Beam Mode Description,Orbit,Path Number,Frame Number,Acquisition Date,Processing Date,Processing Level,Start Time,End Time,Center Lat,Center Lon,Near Start Lat,Near Start Lon,Far Start Lat,Far Start Lon,Near End Lat,Near End Lon,Far End Lat,Far End Lon,Faraday Rotation,Ascending or Descending?,URL,Size (MB),Off Nadir Angle,Stack Size,Baseline Perp.,Doppler,
S1A_IW_SLC__1SDV_20160516T224517_20160516T224544_011290_0111B7_55E3,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",11290,18,558,2016-05-16T22:45:44.000000,2016-05-16T22:45:17.000000,SLC,2016-05-16T22:45:17.000000,2016-05-16T22:45:44.000000,10.0012,105.6835,10.590714,106.974037,11.0359,104.719597,8.960752,106.639359,9.410237,104.3965,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160516T224517_20160516T224544_011290_0111B7_55E3.zip,4290.95605,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20160528T224518_20160528T224545_011465_011773_EDDC,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",11465,18,558,2016-05-28T22:45:45.000000,2016-05-28T22:45:18.000000,SLC,2016-05-28T22:45:18.000000,2016-05-28T22:45:45.000000,10.0011,105.6833,10.590492,106.973885,11.035697,104.719398,8.960779,106.639244,9.410282,104.396347,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160528T224518_20160528T224545_011465_011773_EDDC.zip,4347.31571,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20160609T224518_20160609T224545_011640_011CF1_7FC0,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",11640,18,558,2016-06-09T22:45:45.000000,2016-06-09T22:45:18.000000,SLC,2016-06-09T22:45:18.000000,2016-06-09T22:45:45.000000,10.0007,105.6834,10.590328,106.973969,11.035533,104.719475,8.960242,106.639259,9.409746,104.396347,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160609T224518_20160609T224545_011640_011CF1_7FC0.zip,4322.927631,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20160703T224520_20160703T224547_011990_012808_C0A2,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",11990,18,558,2016-07-03T22:45:47.000000,2016-07-03T22:45:20.000000,SLC,2016-07-03T22:45:20.000000,2016-07-03T22:45:47.000000,10.0014,105.683,10.590723,106.973602,11.035891,104.719055,8.961139,106.63903,9.410604,104.396065,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160703T224520_20160703T224547_011990_012808_C0A2.zip,4326.730922,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20160715T224520_20160715T224547_012165_012DC1_1E93,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",12165,18,558,2016-07-15T22:45:47.000000,2016-07-15T22:45:20.000000,SLC,2016-07-15T22:45:20.000000,2016-07-15T22:45:47.000000,10.0008,105.6838,10.589847,106.974411,11.035073,104.719788,8.960764,106.639915,9.410288,104.396866,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160715T224520_20160715T224547_012165_012DC1_1E93.zip,4309.651088,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20160727T224521_20160727T224548_012340_013377_C235,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",12340,18,558,2016-07-27T22:45:48.000000,2016-07-27T22:45:21.000000,SLC,2016-07-27T22:45:21.000000,2016-07-27T22:45:48.000000,10.0006,105.6835,10.590124,106.974045,11.035325,104.71962,8.96016,106.639359,9.409661,104.396515,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160727T224521_20160727T224548_012340_013377_C235.zip,4338.151868,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20160808T224522_20160808T224549_012515_01394B_DD0E,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",12515,18,558,2016-08-08T22:45:49.000000,2016-08-08T22:45:22.000000,SLC,2016-08-08T22:45:22.000000,2016-08-08T22:45:49.000000,10.0001,105.6831,10.589832,106.973701,11.035028,104.719261,8.959496,106.638939,9.408991,104.39608,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160808T224522_20160808T224549_012515_01394B_DD0E.zip,4335.715872,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20160820T224522_20160820T224549_012690_013F19_FE87,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",12690,18,558,2016-08-20T22:45:49.000000,2016-08-20T22:45:22.000000,SLC,2016-08-20T22:45:22.000000,2016-08-20T22:45:49.000000,10.0001,105.6832,10.589638,106.973808,11.034831,104.719231,8.959683,106.639145,9.409176,104.396156,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160820T224522_20160820T224549_012690_013F19_FE87.zip,4324.415961,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20160901T224523_20160901T224550_012865_014504_ED06,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",12865,18,558,2016-09-01T22:45:50.000000,2016-09-01T22:45:23.000000,SLC,2016-09-01T22:45:23.000000,2016-09-01T22:45:50.000000,10.0002,105.6844,10.589878,106.975067,11.035064,104.720436,8.959674,106.640366,9.409158,104.397324,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160901T224523_20160901T224550_012865_014504_ED06.zip,4327.396768,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20160913T224523_20160913T224550_013040_014A9D_40CB,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",13040,18,558,2016-09-13T22:45:50.000000,2016-09-13T22:45:23.000000,SLC,2016-09-13T22:45:23.000000,2016-09-13T22:45:50.000000,10,105.6833,10.589376,106.973953,11.034584,104.719391,8.959669,106.63932,9.409175,104.396347,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160913T224523_20160913T224550_013040_014A9D_40CB.zip,4349.155823,NA,NA,NA,0,
